 SHA,PCT,PRACTICE,BNF CODE,BNF NAME                                    ,ITEMS  ,NIC        ,ACT COST   ,QUANTITY,PERIOD,                 
Q49,00L,A84022,1310020N0AAAAAA,Miconazole Nit_Crm 2%                   ,5,10.92,10.19,180,201607,                  
Q49,01H,A82012,0403040X0AAALAL,Mirtazapine_Orodisper Tab 15mg          ,2,2.78,2.8,56,201607,                  
Q67,10E,G82650,0205040D0AAABAB,Doxazosin Mesil_Tab 2mg                 ,12,13.68,12.82,532,201607,                  
Q45,00J,A83026,0407020Q0AAAKAK,Morph Sulf_Tab 10mg M/R                 ,3,26,24.13,300,201607,                  
Q48,99A,N82037,1309000S0BBAAAB,Selsun_Shampoo 2.5%                     ,1,3.06,2.85,150,201607,                  
Q63,08X,H85061,1404000S0BEAAAD,Typhim VI_Vac 0.5ml Pfs                 ,38,353.4,327.48,38,201607,                  
Q48,99A,N82003,21130000124,Uro-Tainer Twin Suby G 2 x 30ml Cath Mai,1,4.81,4.47,1,201607,                  
Q60,05G,M83046,21012500106,Alissa Olive Oil Ear Dps Ear Wax Softeni,8,12.78,11.94,9,201607,                  
Q50,03H,B81003,0408010G0AAAKAK,Gabapentin_Tab 800mg                    ,1,23.29,21.69,84,201607,                  
Q58,06P,E81076,1104020T0AAAAAA,Sod Cromoglicate_Eye Dps Aq 2%          ,16,30.24,28.21,208,201607,                  
Q48,01F,N81064,0902013S0AAACAC,Sod Bicarb_Cap 500mg                    ,9,58.44,54.86,1404,201607,                  
Q56,06W,Y04516,0407010H0AAAMAM,Paracet_Tab 500mg                       ,4,5.82,5.84,252,201607,                  
Q68,09N,H81090,0906040G0AABHBH,Colecal_Cap 1 000u                      ,5,378.32,371.02,348,201607,                  
Q51,03N,C88010,23944809486,Convatec_Combihesive Natura Flx Flng 38m,1,131.76,122.09,40,201607,                  
Q60,04Y,M83107,0407010H0AAAWAW,Paracet_Oral Susp Paed 120mg/5ml S/F    ,1,2.62,2.44,200,201607,                  
Q52,03A,B85061,1502010J0BDABBR,Instillagel_Gel 11ml Pfs                ,3,25.22,23.62,176,201607,                  
Q54,05C,M87025,0902012H0BBAGAE,Dioralyte_Pdr Sach (Blkcurrant)         ,6,55.11,51.44,164,201607,                  
Q59,04V,C82096,0106040M0BBACAC,Movicol Plain_Paed Pdr Sach 6.9g        ,12,78.84,73.21,540,201607,                  
Q70,11A,J82019,1305020D0AAAGAG,Calcipotriol/Betameth_Gel 0.005%/0.05%  ,1,74.42,68.97,120,201607,                  
Q61,08D,F85028,0205051R0AAAAAA,Ramipril_Cap 1.25mg                     ,16,12.32,12.61,392,201607,                  
Q59,99D,C83007,0402020G0BBAAAA,Depixol_Inj 20mg/ml 1ml Amp             ,2,3.04,2.82,2,201607,                  
Q49,00L,A84014,0303020G0AAABAB,Montelukast_Tab 10mg                    ,17,47.32,44.17,732,201607,                  
Q49,13T,A85018,090607000BBEGA1,Forceval_Cap                            ,1,7.71,7.16,30,201607,                  
Q63,07Q,G84008,1001010AHAAAAAA,Celecoxib_Cap 100mg                     ,1,2.35,2.19,60,201607,                  
Q58,06K,E82005,0205040D0AAARAR,Doxazosin Mesil_Tab 8mg M/R             ,1,9.98,9.26,28,201607,                  
Q46,01Y,P89004,0501050H0AAAMAM,Erythromycin_Ethylsuc Susp 250mg/5ml S/F,1,4.87,4.53,100,201607,                  
